"filename", "language", "JSON with Comments", "JSON", "YAML", "Ignore", "TypeScript", "Markdown", "Prisma", "SQL", "Docker", "comment", "blank", "total"
"d:\project\DATN\spotify-clone\server\src\modules\playlists\dto\update-playlist.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"d:\project\DATN\spotify-clone\server\src\modules\playlists\playlists.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"d:\project\DATN\spotify-clone\server\src\modules\playlists\playlists.controller.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 10, 67
"d:\project\DATN\spotify-clone\server\src\modules\playlists\playlists.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\project\DATN\spotify-clone\server\src\modules\playlists\playlists.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"d:\project\DATN\spotify-clone\server\src\modules\playlists\playlists.service.ts", "TypeScript", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 16, 183
"d:\project\DATN\spotify-clone\server\src\modules\song-like\dto\create-song-like.dto.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\project\DATN\spotify-clone\server\src\modules\song-like\dto\update-song-like.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"d:\project\DATN\spotify-clone\server\src\modules\song-like\entities\song-like.entity.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\project\DATN\spotify-clone\server\src\modules\song-like\song-like.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"d:\project\DATN\spotify-clone\server\src\modules\song-like\song-like.controller.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 9, 45
"d:\project\DATN\spotify-clone\server\src\modules\song-like\song-like.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\project\DATN\spotify-clone\server\src\modules\song-like\song-like.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"d:\project\DATN\spotify-clone\server\src\modules\song-like\song-like.service.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 10, 67
"d:\project\DATN\spotify-clone\server\src\modules\songs\dto\create-song.dto.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 7, 40
"d:\project\DATN\spotify-clone\server\src\modules\songs\dto\find-song.dto.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"d:\project\DATN\spotify-clone\server\src\modules\songs\dto\update-song.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"d:\project\DATN\spotify-clone\server\src\modules\songs\songs.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"d:\project\DATN\spotify-clone\server\src\modules\songs\songs.controller.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 11, 68
"d:\project\DATN\spotify-clone\server\src\modules\songs\songs.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\project\DATN\spotify-clone\server\src\modules\songs\songs.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"d:\project\DATN\spotify-clone\server\src\modules\songs\songs.service.ts", "TypeScript", 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 18, 198
"d:\project\DATN\spotify-clone\server\src\modules\upload\dto\create-upload.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\project\DATN\spotify-clone\server\src\modules\upload\dto\update-upload.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"d:\project\DATN\spotify-clone\server\src\modules\upload\upload.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"d:\project\DATN\spotify-clone\server\src\modules\upload\upload.controller.ts", "TypeScript", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 8, 71
"d:\project\DATN\spotify-clone\server\src\modules\upload\upload.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
